"","cit.prop","PY","group"
"1",0,1990,"restoration"
"2",0.000739371534195933,1991,"restoration"
"3",0.00342524404863847,1992,"restoration"
"4",0.000999555752998667,1993,"restoration"
"5",0.00198863636363636,1994,"restoration"
"6",0.0020697341187709,1995,"restoration"
"7",0.00451538380762365,1996,"restoration"
"8",0.00694059665801522,1997,"restoration"
"9",0.00679772619611559,1998,"restoration"
"10",0.00831772937814132,1999,"restoration"
"11",0.00881208318332219,2000,"restoration"
"12",0.00986129671443712,2001,"restoration"
"13",0.0105955906548207,2002,"restoration"
"14",0.0131243789050453,2003,"restoration"
"15",0.0125142891522772,2004,"restoration"
"16",0.0143149104879525,2005,"restoration"
"17",0.0155722813392162,2006,"restoration"
"18",0.0182458321788902,2007,"restoration"
"19",0.0187428296158259,2008,"restoration"
"20",0.0200393630345321,2009,"restoration"
"21",0.0230940995340396,2010,"restoration"
"22",0.0231604738202724,2011,"restoration"
"23",0.0214189608542215,2012,"restoration"
"24",0.0229037879013808,2013,"restoration"
"25",0.0235987942477392,2014,"restoration"
"26",0.0248246406959899,2015,"restoration"
"27",0.026661989124715,2016,"restoration"
"28",0.0266680459294507,2017,"restoration"
"29",0.00858369098712446,1990,"conservation"
"30",0.0133086876155268,1991,"conservation"
"31",0.0130159273848262,1992,"conservation"
"32",0.0126610395379831,1993,"conservation"
"33",0.0200994318181818,1994,"conservation"
"34",0.0281802260786499,1995,"conservation"
"35",0.0336028562427806,1996,"conservation"
"36",0.0337697938234522,1997,"conservation"
"37",0.0393889152060635,1998,"conservation"
"38",0.0436385138464571,1999,"conservation"
"39",0.0455519552881071,2000,"conservation"
"40",0.0496597699030767,2001,"conservation"
"41",0.049279368213228,2002,"conservation"
"42",0.0536626040869476,2003,"conservation"
"43",0.0513105910193931,2004,"conservation"
"44",0.0563474172638522,2005,"conservation"
"45",0.0617853162547137,2006,"conservation"
"46",0.0627926935578697,2007,"conservation"
"47",0.0635050422458436,2008,"conservation"
"48",0.0678348599495553,2009,"conservation"
"49",0.0694097494825494,2010,"conservation"
"50",0.0693415518771463,2011,"conservation"
"51",0.0709888148446808,2012,"conservation"
"52",0.0737343484392108,2013,"conservation"
"53",0.0753857663483119,2014,"conservation"
"54",0.0782830774817733,2015,"conservation"
"55",0.0754019762614746,2016,"conservation"
"56",0.0804013654701562,2017,"conservation"
"57",0,1990,"climatechange"
"58",0.0022181146025878,1991,"climatechange"
"59",0.002226408631615,1992,"climatechange"
"60",0.0045535317636606,1993,"climatechange"
"61",0.00454545454545455,1994,"climatechange"
"62",0.00684604362362681,1995,"climatechange"
"63",0.00644054744653296,1996,"climatechange"
"64",0.0104400571578548,1997,"climatechange"
"65",0.00845570819516817,1998,"climatechange"
"66",0.00932295259682665,1999,"climatechange"
"67",0.0116922971420734,2000,"climatechange"
"68",0.0101838624948159,2001,"climatechange"
"69",0.0103849950641658,2002,"climatechange"
"70",0.0116623071036129,2003,"climatechange"
"71",0.0142189599502637,2004,"climatechange"
"72",0.0135079424947591,2005,"climatechange"
"73",0.0151448069495122,2006,"climatechange"
"74",0.0181579818758067,2007,"climatechange"
"75",0.0211958140802576,2008,"climatechange"
"76",0.0261631430401884,2009,"climatechange"
"77",0.0285846834629934,2010,"climatechange"
"78",0.0352181965505267,2011,"climatechange"
"79",0.0391321877873869,2012,"climatechange"
"80",0.0461654474887207,2013,"climatechange"
"81",0.047963214931028,2014,"climatechange"
"82",0.0522860853329754,2015,"climatechange"
"83",0.0520376542127112,2016,"climatechange"
"84",0.0561746146684597,2017,"climatechange"
"85",0.00429184549356223,1990,"invasion"
"86",0.00517560073937153,1991,"invasion"
"87",0.00411029285836616,1992,"invasion"
"88",0.00533096401599289,1993,"invasion"
"89",0.00653409090909091,1994,"invasion"
"90",0.00949954890410232,1995,"invasion"
"91",0.0125660681157898,1996,"invasion"
"92",0.00874865124959902,1997,"invasion"
"93",0.0145428706774041,1998,"invasion"
"94",0.0138563122105056,1999,"invasion"
"95",0.01568687959677,2000,"invasion"
"96",0.0232093759120163,2001,"invasion"
"97",0.0232971372161895,2002,"invasion"
"98",0.0261459558865524,2003,"invasion"
"99",0.0356677295790466,2004,"invasion"
"100",0.0408132833948793,2005,"invasion"
"101",0.0477855299919085,2006,"invasion"
"102",0.0453577872535968,2007,"invasion"
"103",0.0528881198222695,2008,"invasion"
"104",0.0584616094979193,2009,"invasion"
"105",0.0692415143203809,2010,"invasion"
"106",0.0678705097040553,2011,"invasion"
"107",0.0646238317651163,2012,"invasion"
"108",0.0640760732955296,2013,"invasion"
"109",0.065384497595933,2014,"invasion"
"110",0.0696305711364704,2015,"invasion"
"111",0.0673605020561695,2016,"invasion"
"112",0.0661011689252095,2017,"invasion"
